Content1,0,13-12-2005
Content2,0,13-01-2006
Content3,2,13-12-2006
Content4,1,13-01-2007
Content5,0,13-12-2007
Content6,2,13-01-2008
Content7,2,13-12-2008
Content8,2,13-01-2009
Content9,0,13-12-2009
Content10,1,13-01-2010
Content11,1,13-12-2010
Content12,0,13-01-2011
Content13,2,13-12-2011
Content14,1,13-01-2012
Content15,0,13-12-2012
Content16,1,13-01-2013
Content17,2,13-12-2013
Content18,2,13-01-2014
Content19,1,13-12-2014
Content20,0,13-01-2015
Content21,0,13-12-2015
Content22,1,13-01-2016
Content23,2,13-12-2016
Content24,2,13-01-2017
Content25,1,13-12-2017
Content26,2,13-01-2018
Content27,2,13-12-2018
Content28,0,13-01-2019
Content29,1,13-12-2019
Content30,1,13-01-2020
Content31,2,13-12-2020
Content32,0,13-01-2021
Content33,0,13-12-2021
Content34,0,13-01-2022
Content35,1,13-12-2022
Content36,2,13-01-2023
Content37,1,13-12-2023
Content38,0,13-01-2024
Content39,2,13-12-2024
Content40,0,13-01-2025
